"datum","PTE","periode_van","periode_tm","indicatie noodvermogen op","indicatie noodvermogen af","opregelen","Afregelen","prikkelcomponent","Afnemen","invoeden","regeltoestand"
"02-01-2023","17","04:00","04:15","","","","-113,32","0","-113,32","-113,32","-1"
"02-01-2023","18","04:15","04:30","","","","-88,25","0","-88,25","-88,25","-1"
"02-01-2023","19","04:30","04:45","","","","-113,32","0","-113,32","-113,32","-1"
"02-01-2023","20","04:45","05:00","","","","-304,8","0","-304,8","-304,8","-1"
"02-01-2023","21","05:00","05:15","","","","-700","0","-700","-700","-1"
"02-01-2023","22","05:15","05:30","","","","-700","0","-700","-700","-1"
"02-01-2023","23","05:30","05:45","","","","-700","0","-700","-700","-1"
"02-01-2023","24","05:45","06:00","","","","-269,56","0","-269,56","-269,56","-1"
"02-01-2023","25","06:00","06:15","","","","-700","0","-700","-700","-1"
"02-01-2023","26","06:15","06:30","","","","-560,17","0","-560,17","-560,17","-1"
"02-01-2023","27","06:30","06:45","","","","-700","0","-700","-700","-1"
"02-01-2023","28","06:45","07:00","","","","-39,74","0","-39,74","-39,74","-1"
"02-01-2023","29","07:00","07:15","","","","-15,04","0","-15,04","-15,04","-1"
"02-01-2023","30","07:15","07:30","","","","-5,19","0","-5,19","-5,19","-1"
"02-01-2023","31","07:30","07:45","","","","106,06","0","106,06","106,06","-1"
"02-01-2023","32","07:45","08:00","","","","65,05","0","65,05","65,05","-1"
"02-01-2023","33","08:00","08:15","","","","-40","0","-40","-40","-1"
"02-01-2023","34","08:15","08:30","","","","-5,19","0","-5,19","-5,19","-1"
"02-01-2023","35","08:30","08:45","","","","103,31","0","103,31","103,31","-1"
"02-01-2023","36","08:45","09:00","","","","100,31","0","100,31","100,31","-1"
"02-01-2023","37","09:00","09:15","","","","-14,19","0","-14,19","-14,19","-1"
"02-01-2023","38","09:15","09:30","","","","78,68","0","78,68","78,68","-1"
"02-01-2023","39","09:30","09:45","","","","105,33","0","105,33","105,33","-1"
"02-01-2023","40","09:45","10:00","","","148,52","","0","148,52","148,52","1"
"02-01-2023","41","10:00","10:15","","","","103,31","0","103,31","103,31","-1"
"02-01-2023","42","10:15","10:30","","","","-14,19","0","-14,19","-14,19","-1"
"02-01-2023","43","10:30","10:45","","","","47,29","0","47,29","47,29","-1"
"02-01-2023","44","10:45","11:00","","","","-14,19","0","-14,19","-14,19","-1"
"02-01-2023","45","11:00","11:15","","","","-40,62","0","-40,62","-40,62","-1"
"02-01-2023","46","11:15","11:30","","","","-40","0","-40","-40","-1"
"02-01-2023","47","11:30","11:45","","","","-40,62","0","-40,62","-40,62","-1"
"02-01-2023","48","11:45","12:00","","","","73,92","0","73,92","73,92","-1"
"02-01-2023","49","12:00","12:15","","","","101,21","0","101,21","101,21","-1"
"02-01-2023","50","12:15","12:30","","","","136,38","0","136,38","136,38","-1"
"02-01-2023","51","12:30","12:45","","","","","0","143,29","143,29","0"
"02-01-2023","52","12:45","13:00","","","","","0","143,29","143,29","0"
"02-01-2023","53","13:00","13:15","","","","","0","143,29","143,29","0"
"02-01-2023","54","13:15","13:30","","","","","0","143,29","143,29","0"
"02-01-2023","55","13:30","13:45","","","","","0","143,29","143,29","0"
"02-01-2023","56","13:45","14:00","","","","","0","143,29","143,29","0"
"02-01-2023","57","14:00","14:15","","","","","0","143,29","143,29","0"
"02-01-2023","58","14:15","14:30","","","","","0","143,29","143,29","0"
"02-01-2023","59","14:30","14:45","","","","130,2","0","130,2","130,2","-1"
"02-01-2023","60","14:45","15:00","","","","115,2","0","115,2","115,2","-1"
"02-01-2023","61","15:00","15:15","","","","106,98","0","106,98","106,98","-1"
"02-01-2023","62","15:15","15:30","","","","","0","143,25","143,25","0"
"02-01-2023","63","15:30","15:45","","","","","0","148,92","148,92","0"
"02-01-2023","64","15:45","16:00","","","","-20,87","0","-20,87","-20,87","-1"
